"On a scale of 1-10 (1 being least and 10 being most) how much homework would you say you get in maths","What grade did you get on your most recent maths test","On a scale of 1-10 (1 being least and 10 being most) how much homework would you say you get in Science","What grade did you get on your most recent science test","On a scale of 1-10 (1 being least and 10 being most) how much homework would you say you get in Geography","What grade did you get on your most recent Geography test","On a scale of 1-10 (1 being least and 10 being most) how much homework would you say you get in English","What grade did you get on your most recent English test"
"9","C - 65% - 74%","7","B - 75% - 84%","7","A - 85%+","4","A - 85%+"
"5","A - 85%+","1","A - 85%+","2","A - 85%+","7","A - 85%+"
"1","A - 85%+","1","A - 85%+","2","A - 85%+","1","A - 85%+"
"8","A - 85%+","4","A - 85%+","6","A - 85%+","6","A - 85%+"
"6","A - 85%+","2","A - 85%+","7","C - 65% - 74%","3","C - 65% - 74%"
"10","E - -50%","4","B - 75% - 84%","3","B - 75% - 84%","3","B - 75% - 84%"
"5","C - 65% - 74%","1","B - 75% - 84%","2","A - 85%+","3","B - 75% - 84%"
"5","A - 85%+","1","A - 85%+","2","B - 75% - 84%","3","B - 75% - 84%"
"10","A - 85%+","6","B - 75% - 84%","5","A - 85%+","6","B - 75% - 84%"
"7","E - -50%","4","D - 50% - 64%","2","A - 85%+","1","A - 85%+"
"10","B - 75% - 84%","3","D - 50% - 64%","2","B - 75% - 84%","6","A - 85%+"
"8","C - 65% - 74%","1","C - 65% - 74%","5","B - 75% - 84%","3","A - 85%+"
"2","A - 85%+","4","C - 65% - 74%","5","C - 65% - 74%","5","A - 85%+"
"7","A - 85%+","3","B - 75% - 84%","1","A - 85%+","5","B - 75% - 84%"
"6","B - 75% - 84%","3","B - 75% - 84%","5","A - 85%+","3","B - 75% - 84%"
"8","E - -50%","3","D - 50% - 64%","2","A - 85%+","2","B - 75% - 84%"
"8","A - 85%+","1","B - 75% - 84%","7","A - 85%+","3","A - 85%+"
"6","C - 65% - 74%","3","C - 65% - 74%","4","D - 50% - 64%","4","B - 75% - 84%"
"1","B - 75% - 84%","5","A - 85%+","2","B - 75% - 84%","1","A - 85%+"
"10","E - -50%","1","C - 65% - 74%","4","C - 65% - 74%","3","C - 65% - 74%"
"6","B - 75% - 84%","4","B - 75% - 84%","2","A - 85%+","5","B - 75% - 84%"
"1","E - -50%","10","A - 85%+","1","E - -50%","10","A - 85%+"
"4","B - 75% - 84%","2","C - 65% - 74%","4","B - 75% - 84%","8","A - 85%+"
"7","A - 85%+","3","C - 65% - 74%","2","A - 85%+","4","A - 85%+"
"5","A - 85%+","3","A - 85%+","5","A - 85%+","6","A - 85%+"
"10","A - 85%+","5","A - 85%+","5","A - 85%+","7","A - 85%+"
"9","E - -50%","5","E - -50%","1","B - 75% - 84%","4","B - 75% - 84%"
"5","A - 85%+","4","B - 75% - 84%","6","B - 75% - 84%","5","A - 85%+"
"8","B - 75% - 84%","2","B - 75% - 84%","3","A - 85%+","4","A - 85%+"
"5","A - 85%+","3","B - 75% - 84%","3","B - 75% - 84%","3","A - 85%+"
"4","C - 65% - 74%","1","D - 50% - 64%","1","B - 75% - 84%","2","C - 65% - 74%"
"8","B - 75% - 84%","3","D - 50% - 64%","1","E - -50%","2","A - 85%+"
"7","A - 85%+","2","A - 85%+","5","B - 75% - 84%","6","A - 85%+"
"6","B - 75% - 84%","2","C - 65% - 74%","1","B - 75% - 84%","3","B - 75% - 84%"
